Fine_step Time dt scale_factor Memory%
287.0 0.00482453 1.699e-05 1.0 2.1
288.0 0.00484152 1.699e-05 1.0 2.2
289.0 0.00485851 1.699e-05 1.0 2.2
290.0 0.00487549 1.699e-05 1.0 2.2
291.0 0.00489248 1.699e-05 1.0 2.2
292.0 0.00490947 1.699e-05 1.0 2.3
293.0 0.00492646 1.699e-05 1.0 2.3
294.0 0.00494345 1.699e-05 1.0 2.3
295.0 0.00496043 1.699e-05 1.0 2.3
296.0 0.00497742 1.699e-05 1.0 2.4
297.0 0.00499441 1.699e-05 1.0 2.4
298.0 0.0050114 1.699e-05 1.0 2.4
299.0 0.00502838 1.699e-05 1.0 2.4
300.0 0.00504537 1.699e-05 1.0 2.5
301.0 0.00506236 1.699e-05 1.0 2.5
302.0 0.00507935 1.699e-05 1.0 2.6
303.0 0.00509633 1.699e-05 1.0 2.6
304.0 0.00511332 1.699e-05 1.0 2.7
305.0 0.00513031 1.699e-05 1.0 2.7
306.0 0.0051473 1.699e-05 1.0 2.7
307.0 0.00516429 1.699e-05 1.0 2.7
308.0 0.00518127 1.699e-05 1.0 2.8
309.0 0.00519826 1.699e-05 1.0 2.8
310.0 0.00521525 1.699e-05 1.0 2.8
311.0 0.00523224 1.699e-05 1.0 2.8
312.0 0.00524922 1.699e-05 1.0 2.9
313.0 0.00526621 1.699e-05 1.0 2.9
314.0 0.0052832 1.699e-05 1.0 3.0
315.0 0.00530019 1.699e-05 1.0 3.0
316.0 0.00531717 1.699e-05 1.0 3.0
317.0 0.00533416 1.699e-05 1.0 3.0
318.0 0.00535115 1.699e-05 1.0 3.1
319.0 0.00536814 1.699e-05 1.0 3.1
320.0 0.00538513 1.699e-05 1.0 3.2
321.0 0.00540211 1.699e-05 1.0 3.2
322.0 0.0054191 1.699e-05 1.0 3.2
323.0 0.00543609 1.699e-05 1.0 3.2
324.0 0.00545308 1.699e-05 1.0 3.3
325.0 0.00547006 1.699e-05 1.0 3.3
326.0 0.00548705 1.699e-05 1.0 3.3
327.0 0.00550404 1.699e-05 1.0 3.3
328.0 0.00552103 1.699e-05 1.0 3.4
329.0 0.00553801 1.699e-05 1.0 3.4
330.0 0.005555 1.699e-05 1.0 3.5
331.0 0.00557199 1.699e-05 1.0 3.5
332.0 0.00558898 1.699e-05 1.0 3.5
333.0 0.00560597 1.699e-05 1.0 3.5
334.0 0.00562295 1.699e-05 1.0 3.6
335.0 0.00563994 1.699e-05 1.0 3.6
336.0 0.00565693 1.699e-05 1.0 3.7
337.0 0.00567392 1.699e-05 1.0 3.7
338.0 0.0056909 1.699e-05 1.0 3.7
339.0 0.00570789 1.699e-05 1.0 3.7
340.0 0.00572488 1.699e-05 1.0 3.8
341.0 0.00574187 1.699e-05 1.0 3.8
342.0 0.00575885 1.699e-05 1.0 3.8
343.0 0.00577584 1.699e-05 1.0 3.8
344.0 0.00579283 1.699e-05 1.0 3.9
345.0 0.00580982 1.699e-05 1.0 3.9
346.0 0.00582681 1.699e-05 1.0 4.0
347.0 0.00584379 1.699e-05 1.0 4.0
348.0 0.00586078 1.699e-05 1.0 4.1
349.0 0.00587777 1.699e-05 1.0 4.1
350.0 0.00589476 1.699e-05 1.0 4.1
351.0 0.00591174 1.699e-05 1.0 4.1
352.0 0.00592873 1.699e-05 1.0 4.2
353.0 0.00594572 1.699e-05 1.0 4.2
354.0 0.00596271 1.699e-05 1.0 4.2
355.0 0.00597969 1.699e-05 1.0 4.2
356.0 0.00599668 1.699e-05 1.0 4.3
357.0 0.00601367 1.699e-05 1.0 4.3
358.0 0.00603066 1.699e-05 1.0 4.4
359.0 0.00604765 1.699e-05 1.0 4.4
360.0 0.00606463 1.699e-05 1.0 4.4
361.0 0.00608162 1.699e-05 1.0 4.4
362.0 0.00609861 1.699e-05 1.0 4.5
363.0 0.0061156 1.699e-05 1.0 4.5
364.0 0.00613258 1.699e-05 1.0 4.5
365.0 0.00614957 1.699e-05 1.0 4.5
366.0 0.00616656 1.699e-05 1.0 4.6
367.0 0.00618355 1.699e-05 1.0 4.6
368.0 0.00620053 1.699e-05 1.0 4.7
369.0 0.00621752 1.699e-05 1.0 4.7
370.0 0.00623451 1.699e-05 1.0 4.7
371.0 0.0062515 1.699e-05 1.0 4.7
372.0 0.00626848 1.699e-05 1.0 4.8
373.0 0.00628547 1.699e-05 1.0 4.8
374.0 0.00630246 1.699e-05 1.0 4.8
375.0 0.00631945 1.699e-05 1.0 4.8
376.0 0.00633644 1.699e-05 1.0 4.9
377.0 0.00635342 1.699e-05 1.0 4.9
378.0 0.00637041 1.699e-05 1.0 4.9
379.0 0.0063874 1.699e-05 1.0 4.9
380.0 0.00640439 1.699e-05 1.0 5.0
381.0 0.00642137 1.699e-05 1.0 5.0
382.0 0.00643836 1.699e-05 1.0 5.0
383.0 0.00645535 1.699e-05 1.0 5.0
384.0 0.00647234 1.699e-05 1.0 5.1
385.0 0.00648932 1.699e-05 1.0 5.1
386.0 0.00650631 1.699e-05 1.0 5.1
387.0 0.0065233 1.699e-05 1.0 5.1
388.0 0.00654029 1.699e-05 1.0 5.2
389.0 0.00655728 1.699e-05 1.0 5.2
390.0 0.00657426 1.699e-05 1.0 5.2
391.0 0.00659125 1.699e-05 1.0 5.2
392.0 0.00660824 1.699e-05 1.0 5.3
393.0 0.00662523 1.699e-05 1.0 5.3
394.0 0.00664221 1.699e-05 1.0 5.4
395.0 0.0066592 1.699e-05 1.0 5.4
396.0 0.00667619 1.699e-05 1.0 5.4
397.0 0.00669318 1.699e-05 1.0 5.4
398.0 0.00671016 1.699e-05 1.0 5.5
399.0 0.00672715 1.699e-05 1.0 5.5
400.0 0.00674414 1.699e-05 1.0 5.5
401.0 0.00676113 1.699e-05 1.0 5.5
402.0 0.00677812 1.699e-05 1.0 5.6
403.0 0.0067951 1.699e-05 1.0 5.6
404.0 0.00681209 1.699e-05 1.0 5.6
405.0 0.00682908 1.699e-05 1.0 5.6
406.0 0.00684607 1.699e-05 1.0 5.7
407.0 0.00686305 1.699e-05 1.0 5.7
408.0 0.00688004 1.699e-05 1.0 5.7
409.0 0.00689703 1.699e-05 1.0 5.7
410.0 0.00691402 1.699e-05 1.0 5.7
411.0 0.006931 1.699e-05 1.0 5.7
412.0 0.00694799 1.699e-05 1.0 5.8
413.0 0.00696498 1.699e-05 1.0 5.8
414.0 0.00698197 1.699e-05 1.0 5.8
415.0 0.00699896 1.699e-05 1.0 5.8
416.0 0.00701594 1.699e-05 1.0 5.9
417.0 0.00703293 1.699e-05 1.0 5.9
418.0 0.00704992 1.699e-05 1.0 5.9
419.0 0.00706691 1.699e-05 1.0 5.9
420.0 0.00708389 1.699e-05 1.0 6.0
421.0 0.00710088 1.699e-05 1.0 6.0
422.0 0.00711787 1.699e-05 1.0 6.0
423.0 0.00713486 1.699e-05 1.0 6.0
424.0 0.00715184 1.699e-05 1.0 6.1
425.0 0.00716883 1.699e-05 1.0 6.1
426.0 0.00718582 1.699e-05 1.0 6.1
427.0 0.00720281 1.699e-05 1.0 6.1
428.0 0.0072198 1.699e-05 1.0 6.2
429.0 0.00723678 1.699e-05 1.0 6.2
430.0 0.00725377 1.699e-05 1.0 6.2
431.0 0.00727076 1.699e-05 1.0 6.2
432.0 0.00728775 1.699e-05 1.0 6.3
433.0 0.00730473 1.699e-05 1.0 6.3
434.0 0.00732172 1.699e-05 1.0 6.3
435.0 0.00733871 1.699e-05 1.0 6.3
436.0 0.0073557 1.699e-05 1.0 6.3
437.0 0.00737268 1.699e-05 1.0 6.3
438.0 0.00738967 1.699e-05 1.0 6.4
439.0 0.00740666 1.699e-05 1.0 6.4
440.0 0.00742365 1.699e-05 1.0 6.4
441.0 0.00744064 1.699e-05 1.0 6.4
442.0 0.00745762 1.699e-05 1.0 6.4
443.0 0.00747461 1.699e-05 1.0 6.4
444.0 0.0074916 1.699e-05 1.0 6.5
445.0 0.00750859 1.699e-05 1.0 6.5
446.0 0.00752557 1.699e-05 1.0 6.5
447.0 0.00754256 1.699e-05 1.0 6.5
448.0 0.00755955 1.699e-05 1.0 6.6
449.0 0.00757654 1.699e-05 1.0 6.6
450.0 0.00759352 1.699e-05 1.0 6.6
451.0 0.00761051 1.699e-05 1.0 6.6
452.0 0.0076275 1.699e-05 1.0 6.6
453.0 0.00764449 1.699e-05 1.0 6.6
454.0 0.00766148 1.699e-05 1.0 6.7
455.0 0.00767846 1.699e-05 1.0 6.7
456.0 0.00769545 1.699e-05 1.0 6.7
457.0 0.00771244 1.699e-05 1.0 6.7
458.0 0.00772943 1.699e-05 1.0 6.7
459.0 0.00774641 1.699e-05 1.0 6.7
460.0 0.0077634 1.699e-05 1.0 6.8
461.0 0.00778039 1.699e-05 1.0 6.8
462.0 0.00779738 1.699e-05 1.0 6.8
463.0 0.00781436 1.699e-05 1.0 6.8
464.0 0.00783135 1.699e-05 1.0 6.9
465.0 0.00784834 1.699e-05 1.0 6.9
466.0 0.00786533 1.699e-05 1.0 6.9
467.0 0.00788232 1.699e-05 1.0 6.9
468.0 0.0078993 1.699e-05 1.0 6.9
469.0 0.00791629 1.699e-05 1.0 6.9
470.0 0.00793328 1.699e-05 1.0 7.0
471.0 0.00795027 1.699e-05 1.0 7.0
472.0 0.00796725 1.699e-05 1.0 7.0
