Fine_step Time dt scale_factor Memory%
356.0 0.000700785 2.123e-06 1.0 5.8
357.0 0.000702909 2.123e-06 1.0 5.8
358.0 0.000705032 2.123e-06 1.0 5.9
359.0 0.000707156 2.123e-06 1.0 5.9
360.0 0.000709279 2.123e-06 1.0 6.1
361.0 0.000711403 2.123e-06 1.0 6.1
362.0 0.000713526 2.123e-06 1.0 6.2
363.0 0.000715649 2.123e-06 1.0 6.2
364.0 0.000717773 2.123e-06 1.0 6.3
365.0 0.000719896 2.123e-06 1.0 6.3
366.0 0.00072202 2.123e-06 1.0 6.4
367.0 0.000724143 2.123e-06 1.0 6.4
368.0 0.000726267 2.123e-06 1.0 6.6
369.0 0.00072839 2.123e-06 1.0 6.6
370.0 0.000730514 2.123e-06 1.0 6.7
371.0 0.000732637 2.123e-06 1.0 6.7
372.0 0.000734761 2.123e-06 1.0 6.8
373.0 0.000736884 2.123e-06 1.0 6.8
374.0 0.000739008 2.123e-06 1.0 6.9
375.0 0.000741131 2.123e-06 1.0 6.9
376.0 0.000743254 2.123e-06 1.0 7.1
377.0 0.000745378 2.123e-06 1.0 7.1
378.0 0.000747501 2.123e-06 1.0 7.1
379.0 0.000749625 2.123e-06 1.0 7.1
380.0 0.000751748 2.123e-06 1.0 7.3
381.0 0.000753872 2.123e-06 1.0 7.3
382.0 0.000755995 2.123e-06 1.0 7.4
383.0 0.000758119 2.123e-06 1.0 7.4
384.0 0.000760242 2.123e-06 1.0 7.5
385.0 0.000762366 2.123e-06 1.0 7.5
386.0 0.000764489 2.123e-06 1.0 7.6
387.0 0.000766613 2.123e-06 1.0 7.6
388.0 0.000768736 2.123e-06 1.0 7.8
389.0 0.000770859 2.123e-06 1.0 7.8
390.0 0.000772983 2.123e-06 1.0 7.9
391.0 0.000775106 2.123e-06 1.0 7.9
392.0 0.00077723 2.123e-06 1.0 8.0
393.0 0.000779353 2.123e-06 1.0 8.0
394.0 0.000781477 2.123e-06 1.0 8.1
395.0 0.0007836 2.123e-06 1.0 8.1
396.0 0.000785724 2.123e-06 1.0 8.3
397.0 0.000787847 2.123e-06 1.0 8.3
398.0 0.000789971 2.123e-06 1.0 8.4
399.0 0.000792094 2.123e-06 1.0 8.4
400.0 0.000794218 2.123e-06 1.0 8.5
401.0 0.000796341 2.123e-06 1.0 8.5
402.0 0.000798464 2.123e-06 1.0 8.6
403.0 0.000800588 2.123e-06 1.0 8.6
404.0 0.000802711 2.123e-06 1.0 8.8
405.0 0.000804835 2.123e-06 1.0 8.8
406.0 0.000806958 2.123e-06 1.0 8.9
407.0 0.000809082 2.123e-06 1.0 8.9
408.0 0.000811205 2.123e-06 1.0 9.0
409.0 0.000813329 2.123e-06 1.0 9.0
410.0 0.000815452 2.123e-06 1.0 9.1
411.0 0.000817576 2.123e-06 1.0 9.1
412.0 0.000819699 2.123e-06 1.0 9.3
413.0 0.000821822 2.123e-06 1.0 9.3
414.0 0.000823946 2.123e-06 1.0 9.4
415.0 0.000826069 2.123e-06 1.0 9.4
416.0 0.000828193 2.123e-06 1.0 9.5
417.0 0.000830316 2.123e-06 1.0 9.5
418.0 0.00083244 2.123e-06 1.0 9.6
419.0 0.000834563 2.123e-06 1.0 9.6
420.0 0.000836687 2.123e-06 1.0 9.8
421.0 0.00083881 2.123e-06 1.0 9.8
422.0 0.000840934 2.123e-06 1.0 9.9
